"","peak_id","peak_name","host_contries","alternative_names","height_m","height_ft","location","region","restrictions","climb_status","is_open","is_unlisted","is_trekking","trek_year","first_asc_yr","first_asc_season","first_asc_date","countries","first_summiters","summiters_notes","lat","long"
"1","ACHN","Aichyn","Nepal only","Aychin, Ashvin",6055,19865,"Nalakankar/Chandi/Changla","Far West-Kanjiroba","Opened in 2014","Climbed",1,0,0,0,2015,"Autumn","Sep 03","Japan","Hiroki Senda, et al","",NA,NA
"2","AGLE","Agole East","Nepal only","Angole East",6675,21900,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",NA,NA
"3","AMAD","Ama Dablam","Nepal only","Amai Dablang",6814,22356,"Khumbu","Khumbu-Rolwaling-Makalu","","Climbed",1,0,0,0,1961,"Spring","Mar 13","New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward","",27.8621001,86.8604289
"4","AMOT","Amotsang","Nepal only","Amatson",6393,20974,"Damodar","Annapurna-Damodar-Peri","Opened in 2002","Climbed",1,0,0,0,2019,"Autumn","Oct 24","Germany","Jost Kobusch","Possibly climbed earlier",NA,NA
"5","AMPG","Amphu Gyabjen","Nepal only","",5630,18471,"Khumbu","Khumbu-Rolwaling-Makalu","Opened in 2002","Climbed",1,0,0,0,1953,"Spring","Apr 11","UK","John Hunt, Tom Bourdillon","",27.8812212,86.8687897
"6","AMPH","Amphu I","Nepal only","",6740,22113,"Khumbu","Khumbu-Rolwaling-Makalu","Opened in 2002","Climbed",1,0,0,0,2013,"Autumn","Oct 09","S Korea","Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon","",NA,NA
"7","AMPM","Amphu Middle","Nepal only","Amphu North",6202,20348,"Khumbu","Khumbu-Rolwaling-Makalu","Requires permit for Amphu I","Climbed",0,1,0,0,2008,"Spring","Apr 20","Germany","Olaf Rieck, Alexander Graeber","",NA,NA
"8","ANID","Anidesh Chuli","Nepal only","White Wave Peak",6808,22336,"Kangchenjunga/Simhalila","Kangchenjunga-Janak","Opened in 2002","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",NA,NA
"9","ANN1","Annapurna I","Nepal only","",8091,26545,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,1950,"Spring","Jun 03","France","Maurice Herzog, Louis Lachenal","",28.5962553,83.8270789
"10","ANN2","Annapurna II","Nepal only","",7937,26040,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,1960,"Spring","May 17","UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa","",28.5349707,84.1218222
"11","ANN3","Annapurna III","Nepal only","",7555,24787,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,1961,"Spring","May 06","India","Mohan S. Kohli, Sonam Gyatso, Sonam Girmi","",28.5853509,83.9891091
"12","ANN4","Annapurna IV","Nepal only","",7525,24688,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,1955,"Spring","May 30","W Germany","Heinz Steinmetz, Harald Biller, Juergen Wellenkamp","",28.5368932,84.0835623
"13","ANNE","Annapurna I East","Nepal only","",8026,26332,"Annapurna","Annapurna-Damodar-Peri","Requires permit for Annapurna I","Climbed",1,0,0,0,1974,"Spring","Apr 29","Spain","Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad","",-33.0000006,27.8761869
